395,0,0,6,0,0,0,0
514,0,0,0,0,0,0,0
661,0,0,3,0,2,0,0
416,0,0,0,0,0,0,0
418,1,0,4,0,1,0,0
147,0,0,0,0,0,0,0
97,0,0,10,2,2,0,0
47,0,0,0,0,0,0,0
638,0,0,14,2,0,0,0
180,0,0,1,0,0,0,0
642,0,0,3,0,1,0,0
169,0,0,1,0,0,0,0
99,0,0,8,0,0,0,0
619,0,0,0,0,0,0,0
653,2,0,14,0,4,0,0
557,1,0,4,1,2,0,0
147,1,0,18,0,3,0,0
642,0,0,1,0,0,0,0
125,0,0,1,0,0,0,0
112,0,0,10,0,0,0,0
47,1,0,3,0,2,0,0
498,1,0,36,0,4,0,0
107,0,0,1,0,0,0,0
451,0,0,0,0,0,0,0
161,0,0,1,0,0,0,0
452,0,0,0,0,0,0,0
293,0,0,0,0,0,0,0
385,3,0,14,0,4,0,0
531,1,0,3,3,1,0,0
493,1,0,7,0,3,0,0
222,0,0,0,0,0,0,0
385,0,0,22,0,3,0,0
303,0,0,2,0,0,0,0
550,0,0,7,0,1,0,0
105,1,0,25,0,1,0,0
410,0,0,1,0,1,0,0
148,0,0,0,0,0,0,0
97,1,0,18,34,1,4,0
279,1,0,4,0,3,0,0
580,0,0,7,2,0,2,0
155,0,0,0,0,0,0,0
169,1,0,3,0,1,0,0
622,0,0,2,0,1,0,0
194,1,0,4,0,1,0,0
463,0,0,0,0,0,0,0
106,0,0,0,0,0,0,0
204,0,0,3,0,1,0,0
105,0,1,13,2,2,1,0
518,0,0,1,0,0,0,0
595,0,0,0,0,0,0,0
354,0,0,1,0,0,0,0
353,2,0,10,0,3,0,0
452,0,0,1,0,0,0,0
169,0,0,1,0,0,0,0
312,0,0,0,0,0,0,0
141,1,0,19,1,2,1,0
628,1,0,6,0,3,0,0
97,0,0,13,23,0,3,0
653,1,0,48,0,4,0,0
345,0,0,0,0,0,0,0
447,0,1,1,2,0,1,0
505,0,0,0,0,0,0,0
313,0,0,9,0,2,0,0
112,0,0,3,0,0,0,0
99,0,0,6,0,0,0,0
412,0,0,0,0,0,0,0
357,0,0,0,0,0,0,0
395,0,0,9,0,2,0,0
200,0,0,0,0,0,0,0
447,0,0,0,0,0,0,0
