Miami Heat have won 2 consecutive matches.,0
Philadelphia 76ers have lost 3 consecutive matches.,0
Houston Rockets have won 4 consecutive matches.,0
Philadelphia 76ers have lost 4 consecutive matches.,0
Orlando Magic have won 1 consecutive matches. They broke 4 matches loosing streak.,0
Philadelphia 76ers have lost 5 consecutive matches.,0
Philadelphia 76ers have lost 6 consecutive matches.,1
Chicago Bulls have won 4 consecutive matches.,1
Boston Celtics have won 1 consecutive matches. They broke 3 matches loosing streak.,0
Philadelphia 76ers have lost 11 consecutive matches.,0
Philadelphia 76ers have lost 12 consecutive matches.,1
Philadelphia 76ers have lost 12 consecutive matches.,0
Portland Trail Blazers have won 8 consecutive matches.,0
Philadelphia 76ers have lost 14 consecutive matches.,0
Brooklyn Nets have won 1 consecutive matches. They broke 1 matches loosing streak.,0
Philadelphia 76ers have lost 15 consecutive matches.,0
Dallas Mavericks have won 3 consecutive matches.,0
Philadelphia 76ers have lost 16 consecutive matches.,0
San Antonio Spurs have won 8 consecutive matches.,0
Philadelphia 76ers have lost 17 consecutive matches.,0
Oklahoma City Thunder have won 1 consecutive matches. They broke 1 matches loosing streak.,0
Philadelphia 76ers have lost 1 consecutive matches. They broke 1 matches winning streak.,0
Philadelphia 76ers have lost 3 consecutive matches.,1
Philadelphia 76ers have lost 3 consecutive matches.,0
Philadelphia 76ers have lost 4 consecutive matches.,1
Boston Celtics have won 1 consecutive matches. They broke 3 matches loosing streak.,1
Philadelphia 76ers have lost 5 consecutive matches.,1
Charlotte Hornets have won 1 consecutive matches. They broke 4 matches loosing streak.,1
Cleveland Cavaliers have lost 2 consecutive matches.,0
Philadelphia 76ers have won 1 consecutive matches. They broke 5 matches loosing streak.,0
Milwaukee Bucks have won 1 consecutive matches. They broke 1 matches loosing streak.,0
Philadelphia 76ers have lost 1 consecutive matches. They broke 1 matches winning streak.,0
Indiana Pacers have lost 1 consecutive matches. They broke 1 matches winning streak.,0
Philadelphia 76ers have won 2 consecutive matches.,0
Atlanta Hawks have won 9 consecutive matches.,0
Atlanta Hawks have won 9 consecutive matches.,1
New Orleans Pelicans have lost 1 consecutive matches. They broke 1 matches winning streak.,0
Philadelphia 76ers have won 1 consecutive matches. They broke 2 matches loosing streak.,0
New York Knicks have won 2 consecutive matches.,0
Philadelphia 76ers have lost 3 consecutive matches.,0
Philadelphia 76ers have lost 4 consecutive matches.,1
Toronto Raptors have won 1 consecutive matches. They broke 1 matches loosing streak.,1
Detroit Pistons have lost 4 consecutive matches.,0
Philadelphia 76ers have won 1 consecutive matches. They broke 6 matches loosing streak.,0
Minnesota Timberwolves have lost 1 consecutive matches. They broke 1 matches winning streak.,0
Philadelphia 76ers have won 2 consecutive matches.,0
Denver Nuggets have lost 3 consecutive matches.,0
Philadelphia 76ers have won 1 consecutive matches. They broke 2 matches loosing streak.,0
Philadelphia 76ers have won 1 consecutive matches. They broke 1 matches loosing streak.,1
Philadelphia 76ers have won 1 consecutive matches. They broke 1 matches loosing streak.,0
Philadelphia 76ers have lost 1 consecutive matches. They broke 1 matches winning streak.,1
Philadelphia 76ers have lost 1 consecutive matches. They broke 1 matches winning streak.,0
Philadelphia 76ers have lost 2 consecutive matches.,1
Philadelphia 76ers have lost 2 consecutive matches.,0
Washington Wizards have lost 6 consecutive matches.,0
Philadelphia 76ers have won 1 consecutive matches. They broke 5 matches loosing streak.,0
Toronto Raptors have won 1 consecutive matches. They broke 5 matches loosing streak.,0
Philadelphia 76ers have lost 2 consecutive matches.,0
