21,1,1,2,4,25,7,28,94,45,48,26,18,69,33,10,43,6,23,17,17,21,115,4,0
14,5,2,0,0,33,12,36,89,37,42,32,20,62,30,11,41,6,18,9,11,25,106,4,0
14,4,2,0,0,21,4,19,83,31,37,24,23,96,32,13,45,3,12,6,12,20,89,4,1
28,3,1,0,0,17,6,35,78,40,51,25,18,72,33,12,45,8,13,3,17,24,104,4,1
20,3,2,0,0,15,4,27,82,36,44,35,29,83,39,8,47,4,25,6,11,22,105,4,0
19,1,2,1,2,36,10,28,101,44,44,18,13,72,34,15,49,7,28,10,20,23,111,4,0
4,1,2,1,3,24,5,21,87,33,38,7,4,57,31,7,38,5,24,9,16,14,75,4,0
2,4,1,0,0,22,7,32,78,32,41,34,25,74,33,8,41,9,14,11,8,15,96,4,0
15,2,2,0,0,28,7,25,81,34,42,19,18,95,29,12,41,5,18,12,24,17,93,4,0
8,3,1,0,0,15,7,47,88,50,57,32,22,69,32,7,39,3,27,16,10,19,129,4,1
23,3,1,0,0,28,9,32,88,42,48,30,16,53,40,11,51,4,25,14,19,22,109,4,0
5,5,1,0,0,23,10,43,80,41,51,27,23,85,36,13,49,1,25,4,12,21,115,4,1
7,2,2,0,0,26,9,35,80,36,45,13,7,54,30,10,40,7,22,10,17,17,88,4,1
19,1,2,1,2,26,5,19,96,42,44,10,9,90,39,9,48,4,28,6,13,21,98,4,1
5,4,2,0,0,16,3,19,81,35,43,29,20,69,35,11,46,6,24,4,18,28,93,4,1
25,1,2,1,2,35,13,37,82,31,38,34,23,68,25,15,40,1,24,7,11,24,98,4,0
25,2,1,0,0,38,17,45,89,45,51,23,18,78,29,6,35,2,27,12,12,22,125,4,1
10,2,1,0,0,14,7,50,86,42,49,14,11,79,39,8,47,5,23,8,16,13,102,4,0
9,2,1,0,0,25,8,32,82,42,51,25,22,88,37,15,52,5,26,8,18,15,114,4,1
7,1,1,2,4,23,7,30,96,42,44,21,18,86,35,8,43,4,21,10,12,27,109,4,1
18,1,1,2,1,33,10,30,92,42,46,14,11,79,44,16,60,2,25,5,19,18,105,4,0
30,2,1,0,0,27,12,44,74,31,42,18,15,83,40,9,49,10,18,7,21,20,89,4,0
26,1,2,1,1,28,9,32,86,35,41,30,24,80,29,13,42,4,26,10,10,21,103,4,0
27,1,2,1,1,34,12,35,94,42,45,13,7,54,26,10,36,3,26,8,7,23,103,4,0
6,5,2,0,0,25,11,44,75,31,41,19,15,79,26,12,38,3,21,13,28,22,88,4,1
24,1,1,2,4,19,4,21,88,38,43,22,19,86,42,8,50,9,19,5,17,17,99,4,1
20,1,1,2,5,22,11,50,89,44,49,22,16,73,20,15,35,2,26,15,14,23,115,4,0
4,1,2,1,2,23,6,26,91,39,43,33,27,82,33,11,44,5,22,10,9,14,111,4,1
27,1,1,2,1,23,13,57,76,43,57,24,17,71,33,3,36,3,27,10,9,17,116,4,1
28,2,1,0,0,22,2,9,83,29,35,21,14,67,43,14,57,8,11,5,12,15,74,4,0
13,3,1,0,0,37,12,32,91,41,45,26,18,69,35,11,46,3,31,12,8,17,112,4,0
14,2,2,0,0,29,11,38,84,40,48,19,10,53,40,11,51,5,23,4,16,22,101,4,0
1,2,1,0,0,34,15,44,87,39,45,28,21,75,39,11,50,5,23,9,12,20,114,4,0
11,1,2,1,2,17,6,35,98,41,42,27,19,70,36,13,49,11,16,8,14,29,107,4,1
8,3,1,0,0,34,15,44,80,36,45,29,24,83,34,14,48,10,23,8,18,18,111,4,0
21,1,2,1,1,14,4,29,88,41,47,16,14,88,27,10,37,8,18,9,15,19,100,4,1
9,1,1,2,4,30,13,43,88,44,50,24,18,75,34,11,45,6,26,7,9,22,119,4,1
19,1,1,2,1,28,11,39,88,45,51,24,20,83,36,13,49,6,22,8,10,20,121,4,0
20,3,1,0,0,18,5,28,86,39,45,14,13,93,33,9,42,6,21,11,15,22,96,4,1
24,1,1,2,16,23,10,43,78,38,49,17,13,76,25,9,34,8,22,2,4,14,99,4,1
21,1,2,1,1,20,6,30,90,39,43,19,15,79,30,12,42,5,20,4,10,10,99,4,0
4,6,1,0,0,30,9,30,105,40,38,17,10,59,42,14,56,9,22,5,13,17,99,4,1
5,1,2,1,1,37,15,41,85,43,51,14,12,86,31,7,38,4,22,4,10,12,113,4,0
2,1,2,1,6,33,14,42,91,38,42,16,12,75,40,15,55,1,17,7,17,23,102,4,1
9,3,2,0,0,17,6,35,87,40,46,11,7,64,23,11,34,3,17,8,18,18,93,4,1
17,2,1,0,0,35,13,37,85,39,46,16,13,81,31,10,41,2,28,7,11,18,104,4,0
22,2,1,0,0,18,9,50,85,48,56,19,14,74,32,11,43,3,30,7,13,19,119,4,0
3,1,1,2,2,21,5,24,79,36,46,28,20,71,33,11,44,4,18,5,12,18,97,4,1
5,1,2,1,5,26,8,31,79,34,43,13,12,92,35,5,40,2,19,8,17,21,88,4,1
8,2,2,0,0,24,7,29,82,42,51,28,22,79,26,6,32,2,33,9,16,32,113,4,0
20,1,1,2,1,17,7,41,90,37,41,22,17,77,38,13,51,4,22,9,11,21,98,4,0
8,6,1,0,0,20,8,40,80,37,46,23,20,87,29,11,40,6,19,5,9,23,102,4,1
3,1,1,2,3,22,12,55,74,36,49,29,25,86,28,7,35,5,28,9,12,19,109,4,0
7,1,2,1,2,17,7,41,78,37,47,18,12,67,31,9,40,2,14,5,15,21,93,4,1
6,2,2,0,0,23,5,22,86,32,37,22,12,55,30,12,42,5,20,9,16,18,81,4,0
2,1,2,1,3,24,9,38,80,35,44,20,14,70,36,7,43,9,17,9,18,18,93,4,0
21,4,2,0,0,15,5,33,75,34,45,32,20,62,25,12,37,9,20,8,13,16,93,4,0
25,9,1,0,0,61,24,39,94,42,45,19,14,74,44,13,57,4,27,7,14,18,122,4,1
20,1,1,2,1,25,13,52,77,43,56,21,17,81,26,8,34,5,30,8,11,17,116,4,0
23,1,1,2,1,26,16,62,78,39,50,25,17,68,30,2,32,4,26,8,10,18,111,4,0
5,1,1,2,2,37,15,41,87,44,51,22,17,77,29,10,39,3,27,11,12,20,120,4,1
19,6,1,0,0,22,9,41,83,45,54,22,14,64,29,10,39,4,27,13,14,16,113,4,1
29,1,1,2,2,21,9,43,100,48,48,24,17,71,43,11,54,8,24,7,24,25,122,4,0
24,3,1,0,0,8,3,38,70,39,56,18,17,94,29,5,34,5,15,6,11,18,98,4,1
1,4,1,0,0,33,11,33,84,42,50,33,28,85,35,7,42,9,28,6,8,25,123,4,0
9,2,2,0,0,25,9,36,80,32,40,35,26,74,34,11,45,2,25,7,17,17,99,4,1
18,3,1,0,0,24,9,38,93,45,48,18,13,72,28,10,38,8,25,9,9,27,112,4,0
19,2,1,0,0,24,9,38,91,48,53,18,15,83,42,10,52,2,33,6,16,20,120,4,0
7,2,2,0,0,22,7,32,85,35,41,20,15,75,36,12,48,2,18,7,19,18,92,4,1
8,1,2,1,2,12,3,25,77,37,48,30,21,70,25,10,35,5,23,6,15,18,98,4,0
16,2,1,0,0,19,9,47,81,40,49,23,20,87,29,10,39,1,24,7,8,17,109,4,0
27,4,1,0,0,24,7,29,81,39,48,30,20,67,40,6,46,6,25,6,8,22,105,4,1
9,3,2,0,0,14,5,36,92,37,40,27,22,81,40,17,57,7,19,4,12,27,101,4,1
1,3,1,0,0,40,18,45,89,40,45,39,30,77,40,16,56,6,23,5,8,20,128,4,0
24,1,1,2,5,21,7,33,84,45,54,13,12,92,33,4,37,5,26,13,12,16,109,4,0
11,2,2,0,0,34,14,41,79,36,46,15,12,80,26,7,33,3,23,12,16,19,98,4,0
19,1,2,0,0,16,2,12,81,33,41,26,21,81,29,14,43,5,19,9,13,28,89,4,0
29,2,1,0,0,10,2,20,90,43,48,26,25,96,36,13,49,4,21,3,6,23,113,4,0
1,3,1,0,0,23,9,39,83,39,47,16,16,100,31,9,40,9,26,10,15,11,103,4,1
7,1,2,1,3,24,8,33,86,46,53,12,10,83,33,4,37,8,34,13,20,22,110,4,1
20,3,2,0,0,25,9,36,86,44,51,17,12,71,27,8,35,6,30,11,15,14,109,4,0
24,1,2,1,1,19,7,37,91,36,40,10,6,60,27,11,38,3,29,7,9,11,85,4,0
22,5,1,0,0,22,9,41,90,44,49,24,19,79,27,8,35,4,14,15,7,22,116,4,1
28,1,2,1,1,33,8,24,107,40,37,21,16,76,38,17,55,3,23,9,12,20,104,4,0
2,4,1,0,0,26,8,31,86,40,47,16,10,62,36,12,48,2,20,8,8,20,98,4,0
20,6,2,0,0,10,2,20,76,37,49,32,24,75,21,6,27,3,15,10,7,14,100,4,0
16,1,1,2,5,17,2,12,84,37,44,26,18,69,38,7,45,5,20,9,16,16,94,4,1
2,5,1,0,0,14,5,36,79,33,42,39,32,82,33,12,45,3,12,14,14,16,103,4,1
28,1,1,2,4,17,7,41,92,41,45,17,14,82,30,10,40,4,18,12,18,17,103,4,0
